category,title,link,summary
금융,"추경호, IDB 총재 만나…“韓 중남미 진출 교두보 마련 협조 당부”",https://n.news.naver.com/mnews/article/030/0003090951?sid=101,추경호 부총리 겸 기획재정부 장관(오른쪽)이 12일(현지시간) 미국 국제통화기금(IMF)에서 국제신용평가사 피치(Fitch)의 제임스 맥코맥 국가신용등급 글로벌총괄과 악수하며 인사를 나누고 있다.
증권,"물가 호재보다 경기침체가…""어닝 쇼크 주의, 변동성 대비해야""",https://n.news.naver.com/mnews/article/008/0004874791?sid=101,"임종철 디자인기자 /사진=임종철 디자인기자 경기침체 우려가 커지며 증시의 상승 동력도 점차 약해진다.
인플레이션 완화 기대감에 미국 증시는 장 초반 상승세를 보였으나 곧 경기침체 우려가 부각되며 하락 전환했다."
산업/재계,"S-OIL, 전기차 전용 윤활유 브랜드 ‘세븐 EV’ 출시",https://n.news.naver.com/mnews/article/366/0000893136?sid=101,에쓰오일은 세계적 수준의 윤활기유 경쟁력을 바탕으로 최고급 윤활유 브랜드 '에쓰오일 7′으로 국내외 프리미엄 윤활유 시장을 확대하고 있다.
중기/벤처,냉온수 탱크 30년 한우물 ‘뚝심’ 통했다,https://n.news.naver.com/mnews/article/016/0002129841?sid=101,큐비에스의 인천 송도 본사 생산라인 [큐비에스 제공] 코로나19 봉쇄와 한-중 자유무역협정(FTA) 등 교역조건 위기를 극복하고 글로벌 시장에서 승승장구하고 있는 강소기업이 업계의 주목을 받고 있다.
부동산,서부산 개발호재 수혜 기대… ‘서부산 SK V1’ 분양,https://n.news.naver.com/mnews/article/011/0004178648?sid=101,"[서울경제] 굵직한 개발호재로 주목을 받고 있는 서부산에서 지식산업센터 '서부산 SK V1'이 분양 중이다.
신평장림산업단지는 가덕도 신공항 개발예정지, 에코델타시티 인근이라 다양한 개발 호재로 주목받고 있다."
글로벌 경제,"뉴욕증시, 도매물가 냉각에 장초반 상승세…나스닥 1%대 ↑",https://n.news.naver.com/mnews/article/277/0005245311?sid=101,"경제매체 CNBC는 ""인플레이션 냉각을 보여주는 또 다른 보고서(PPI)로 증시가 상승세""라며 ""다만 경기침체가 임박했다는 우려로 (다우, S&P500지수의) 상승폭은 크지 않다""고 분위기를 전했다."
생활경제,잠실에 등장한 ‘초록색 개구리’의 정체는?,https://n.news.naver.com/mnews/article/119/0002702291?sid=101,"윤창욱 롯데백화점 Casual2(캐주얼2)팀 치프바이어는 ""4월은 동남아시아 국가들의 황금연휴가 몰려있는 만큼 국내 MZ세대 고객뿐 아니라 외국인 관광객들도 좋아할만한 콘텐츠를 선보이기 위해 심혈을 기울여 준비했다""며 ""앞으로도 고객들에게 색다른 경험과 즐거움을 선사할 수 있도록 지속적으로 노력하겠다""고 밝혔다."
경제 일반,"[굿모닝 마켓] ""연준 너마저""…경기침체 우려에 다우 지수까지 하락",https://n.news.naver.com/mnews/article/374/0000331408?sid=101,"3월 연방공개시장위원회 FOMC 의사록을 보니, 연준마저 경기침체를 예상하고 있다는 것이 확인됐기 때문입니다.
그래서 제러미 시걸 와튼 스쿨 교수는 연준이 금리를 인하할 것이라고 보고 있습니다."
모바일,"티라유텍, 국가산업대상 스마트팩토리 부문 대상",https://n.news.naver.com/mnews/article/092/0002288777?sid=105,"(사진=티라유텍) 티라유텍은 스마트팩토리 구축에 필요한 생산계획 수립부터 생산관리, 소프트웨어, 자율주행물류로봇(AMR)까지 통합 솔루션을 제시하고 있다."
인터넷/SNS,"네이버 자회사, 장애인고용촉진대회서 표창",https://n.news.naver.com/mnews/article/092/0002288781?sid=105,"네이버핸즈는 장애인 고용 촉진에 기여한 우수 사업주로 선정돼 고용노동부 장관 표창을 수상했다.
일 서울 송파구에서 진행된 '2023 장애인고용촉진대회'에서 고용노동부 장관 표창을 받고 있는 노세관 네이버핸즈 대표."
통신/뉴미디어,금융권 알뜰폰은 규제 없는데… 통신 요금 사전규제 강화하나,https://n.news.naver.com/mnews/article/029/0002794645?sid=105,"과기정통부 관계자는 ""간담회에서는 요금 규제보다 최적요금제 고지, 통신요금 모니터링 등 요금정보 제공 강화방안이 주로 논의됐다""며 ""구체적인 정보제공 방법과 정보 제공자의 신뢰성 등에 대한 다양한 의견이 제시됐다""고 말했다."
IT 일반,수트 대신 후드티... 김 검사는 왜 로펌 말고 블록체인을 택했을까?[C레벨 탐구],https://n.news.naver.com/mnews/article/469/0000733888?sid=105,"""운영정책실은 두나무의 여러 서비스, 특히 가상화폐 등 디지털자산 분야와 관련된 정책을 검토하고 수립하는 업무를 맡고 있습니다."
보안/해킹,똑똑한 챗GPT 하나면 보안도 OK…마이크로소프트 AI 보안비서 공개,https://n.news.naver.com/mnews/article/421/0006744503?sid=105,"보안업계 ""챗GPT 잘 활용땐 실시간 취약점 대응 도움"" MS 'AI 보안비서' 선봬…국내 보안기업도 챗GPT 적용 
13일 업계에 따르면, 마이크로소프트(MS)는 최근 챗GPT 기반의 보안 제품 '시큐리티 코파일럿'을 공개했다."
컴퓨터,"오라클, OCI 도입한 맨텍-보나캠프-FNS 사례 공개",https://n.news.naver.com/mnews/article/138/0002146407?sid=105,"맨텍 이진현 상무는 ""맨텍은 OCI를 통해 솔루션 교육 서비스 비용을 대폭 절감시켰으며, 이로써 많은 기업들이 클라우드 네이티브 앱을 보다 간편하게 개발 운영하도록 지원할 수 있게 됐다."
게임/리뷰,적자폭 줄인 라인게임즈…경영 효율화·신작 러시로 올해 달린다,https://n.news.naver.com/mnews/article/138/0002146340?sid=105,12일 공시된 라인게임즈 연결감사보고서에 따르면 라인게임즈는 지난해 연결 기준 매출 827억5657만원을 기록했다.
과학 일반,"튀르키예 지진파, 9분50초 만에 한반도 강타했다",https://n.news.naver.com/mnews/article/277/0005245154?sid=105,"사진출처=한국지질자원연구원(KIGAM) 제공 튀르키예 지진은 지자연 지질재해연구본부에서 운영 중인 광대역 관측소 모두에서 관측됐다.
앞서 지자연은 튀르키예 대지진으로 한반도 지하수위까지 영향을 받았다는 사실을 확인한 바 있다."
